date,lpr_1y
2004-09-01,5.19
2004-10-01,4.97
2004-11-01,4.91
2004-12-01,5.22
2005-01-01,4.88
2005-02-01,4.75
2005-03-01,4.72
2005-04-01,5.16
2005-05-01,4.79
2005-06-01,5.41
2005-07-01,4.65
2005-08-01,5.42
2005-09-01,5.14
2005-10-01,5.09
2005-11-01,5.01
2005-12-01,5.21
2006-01-01,5.14
2006-02-01,5.38
2006-03-01,5.2
2006-04-01,5.22
2006-05-01,5.14
2006-06-01,5.22
2006-07-01,5.31
2006-08-01,4.92
2006-09-01,5.01
2006-10-01,5.45
2006-11-01,5.35
2006-12-01,5.3
2007-01-01,5.36
2007-02-01,5.45
2007-03-01,5.29
2007-04-01,5.27
2007-05-01,5.48
2007-06-01,5.27
2007-07-01,5.57
2007-08-01,5.16
2007-09-01,5.73
2007-10-01,5.64
2007-11-01,5.62
2007-12-01,5.78
2008-01-01,5.94
2008-02-01,5.83
2008-03-01,5.28
2008-04-01,5.41
2008-05-01,5.56
2008-06-01,5.71
2008-07-01,5.83
2008-08-01,5.6
2008-09-01,5.8
2008-10-01,5.63
2008-11-01,5.67
2008-12-01,5.53
2009-01-01,5.64
2009-02-01,5.57
2009-03-01,5.66
2009-04-01,6.08
2009-05-01,5.7
2009-06-01,6.43
2009-07-01,6.01
2009-08-01,5.96
2009-09-01,5.76
2009-10-01,6.08
2009-11-01,5.84
2009-12-01,5.99
2010-01-01,6.48
2010-02-01,5.96
2010-03-01,6.21
2010-04-01,5.85
2010-05-01,5.98
2010-06-01,6.35
2010-07-01,5.87
2010-08-01,6.36
2010-09-01,6.14
2010-10-01,5.89
2010-11-01,6.13
2010-12-01,6.19
2011-01-01,6.12
2011-02-01,5.68
2011-03-01,5.84
2011-04-01,5.93
2011-05-01,5.96
2011-06-01,6.09
2011-07-01,6.0
2011-08-01,5.69
2011-09-01,6.02
2011-10-01,6.06
2011-11-01,6.03
2011-12-01,6.13
2012-01-01,6.07
2012-02-01,5.98
2012-03-01,5.86
2012-04-01,5.53
2012-05-01,5.93
2012-06-01,5.87
2012-07-01,5.87
2012-08-01,5.54
2012-09-01,5.56
2012-10-01,5.97
2012-11-01,5.74
2012-12-01,5.86
2013-01-01,4.0
2013-02-01,4.0
2013-03-01,4.14
2013-04-01,3.92
2013-05-01,4.01
2013-06-01,3.93
2013-07-01,3.93
2013-08-01,3.95
2013-09-01,4.03
2013-10-01,3.93
2013-11-01,4.19
2013-12-01,3.87
2014-01-01,3.47
2014-02-01,3.43
2014-03-01,3.72
2014-04-01,3.53
2014-05-01,3.65
2014-06-01,3.28
2014-07-01,3.54
2014-08-01,3.63
2014-09-01,3.51
2014-10-01,3.66
2014-11-01,3.42
2014-12-01,3.71
2015-01-01,4.34
2015-02-01,3.95
2015-03-01,3.93
2015-04-01,4.22
2015-05-01,4.24
2015-06-01,3.92
2015-07-01,3.94
2015-08-01,3.96
2015-09-01,3.8
2015-10-01,3.86
2015-11-01,3.85
2015-12-01,3.88
2016-01-01,3.24
2016-02-01,3.29
2016-03-01,3.48
2016-04-01,3.1
2016-05-01,3.4
2016-06-01,3.22
2016-07-01,3.24
2016-08-01,3.35
2016-09-01,3.08
2016-10-01,3.31
2016-11-01,3.27
2016-12-01,3.32
2017-01-01,4.04
2017-02-01,4.37
2017-03-01,3.9
2017-04-01,3.92
2017-05-01,3.91
2017-06-01,3.92
2017-07-01,3.9
2017-08-01,4.18
2017-09-01,4.21
2017-10-01,3.91
2017-11-01,3.88
2017-12-01,4.07
2018-01-01,3.42
2018-02-01,3.59
2018-03-01,3.53
2018-04-01,3.27
2018-05-01,3.73
2018-06-01,3.77
2018-07-01,3.41
2018-08-01,3.44
2018-09-01,3.54
2018-10-01,3.55
2018-11-01,3.6
2018-12-01,3.8
2019-01-01,3.97
2019-02-01,3.88
2019-03-01,3.79
2019-04-01,3.89
